,Created Time/Date:,04:34 3Rd Oct 2013,,,,,,,,,
,2,10/25/1997,,,,,,,,,
,3,0789 345 123,,,,,,,,,
,4,0,,,,,,,,,
,5,Simple Fortune Don't,,,,,,,,,
,6,10/10/2000,,,,,,,,,
,8,0,,,,,,,,,
,12,10/20/2001,,,,,,,,,
,13,65 Appling Way,,,,,,,,,
,14,5/24/2006,,,,,,,,,
,16,Finally,,,,,,,,,
,17,A Strongly Simple So What A,,,,,,,,,
,18,Apricots Tv Show For Tv Show Strongly,,,,,,,,,
,19,0,,,,,,,,,
,20,A Apples,,,,,,,,,
,22,Francois.Smith@Gmail.Com,,,,,,,,,
,24,Smithy The I Don't Know Awesome,,,,,,,,,
,26,0,,,,,,,,,
,28,Tv Show,,,,,,,,,
,30,01234567743,,,,,,,,,
,32,0,,,,,,,,,
,33,Simple,,,,,,,,,
,34,95 Apex Dr,,,,,,,,,
,36,79 Apple Wood Ln,,,,,,,,,
,37,0,,,,,,,,,
,38,A,,,,,,,,,
,39,0,,,,,,,,,
,42,0,,,,,,,,,
,44,0,,,,,,,,,
,45,123-123-1234,,,,,,,,,
,47,Good Simple Love It A,,,,,,,,,
,50,12/5/2001,,,,,,,,,
,51,Once Strongly So What,,,,,,,,,
,54,I Don't Know,,,,,,,,,
,55,Good,,,,,,,,,
,57,7/4/2005,,,,,,,,,
,58,0789 345 123,,,,,,,,,
,59,179 Cliff Nelson Rd,,,,,,,,,
,66,A Strongly The Really? Smithy,,,,,,,,,
,67,45 Cline St,,,,,,,,,
,69,Chris@Acme.Com,,,,,,,,,
,71,Linda@Acme.Com,,,,,,,,,
,72,Fred@Test.Org,,,,,,,,,
,73,Customers,,,,,,,,,
,76,0,,,,,,,,,
,77,Simple So What Hate It,,,,,,,,,
,78,Grapes Apricots,,,,,,,,,
,81,0,,,,,,,,,
,82,Jean-Francois.Wilten@Test.Org,,,,,,,,,
,83,123-123-1234,,,,,,,,,
,86,0,,,,,,,,,
,87,Good A Tv Show A,,,,,,,,,
,89,0,,,,,,,,,
,94,For Tv Show Awesome,,,,,,,,,
,95,Tv Show Awesome Once Fortune,,,,,,,,,
,96,Marybeth.Randall@Test.Org,,,,,,,,,
,97,Love It,,,,,,,,,
,,,,,,,,,,,
13,What Is Your Gender?,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,Male,39,52%,,,,,,,,
,Female,36,48%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,75,,,,,,,,,
,Total Responses:,75,,,,,,,,,
,,,,,,,,,,,
14,Please Select Your Age.,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,Less Than 18,16,19.3%,,,,,,,,
,18 To 24,20,24.1%,,,,,,,,
,25 To 34,12,14.5%,,,,,,,,
,35 To 54,18,21.7%,,,,,,,,
,55+,17,20.5%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,83,,,,,,,,,
,Total Responses:,83,,,,,,,,,
,,,,,,,,,,,
15,What Is The Highest Degree Of Education That You Achieved?,,,,,,,,,,
,,Responses,Percent,,,,,,,,
,12Th Grade Or Less,7,8.8%,,,,,,,,
,Graduated High School Or Equivalent,17,21.2%,,,,,,,,
,Some College  No Degree,16,20%,,,,,,,,
,Associate Degree,13,16.2%,,,,,,,,
,Bachelor's Degree,6,7.5%,,,,,,,,
,Post-Graduate Degree,21,26.2%,,,,,,,,
,,,,,,,,,,,
,Total Clicks:,80,,,,,,,,,
,Total Responses:,80,,,,,,,,,
,,,,,,,,,,,
