,Filters Applied,,,,,,,
,53,My Reservation Was For 2 X Twin Rooms  I Cancelled One 4 Days Prior To Arrival  Upon Arrival I Was Shown To 1 X Double Room ( Reservation Was For A Group Of Ladies). We Were Offered Two Separate Rooms Albeit At Opposite End Of The Hotel  Also We Were Only Notified The Day Before Of The Woodstock Fair Causing A Problem With Parking And Horrendous Noise Outside The Hotel - I Would Not Have Booked If I Had Been Told Earlier.  I Have Stayed Many Times Whilst Travelling On Business And Always Considered The Feathers A Super Hotel  However After This Visit I Am Most Disappointed.,,,,,,
,54,Spanish Receptionist Was Rude On Arrival (Speaking In Spanish) Which We Understood! A Shame As All Other Staff Fantastic,,,,,,
,56,Full Information About The Booking Was Provided To Us Via Email.,,,,,,
,67,Superb  Faultless  Beautiful.,,,,,,
,70,Pre-Arrival Telephone Call Was Very Good - Which Is Why We Were Quite Disappointed When We Actually Arrived - The Staff Were Not Rude But Just Not Welcoming,,,,,,
,72,Very Good Pre Arrival Contact Friendly And Welcoming Receptionist,,,,,,
,73,Our Booking By Sally (May Have Got Name Wrong) Was Handled Brilliantly - She Was Very Helpful. Check In Was Swift And The Offer Of A Cuppa Alovely Touch.,,,,,,
,76,Very Helpful Receptionist Upon Arriving.  Helped Me Up To My Room With My Many Bags  Spoke To The Kitchen And Arranged For Me To Have Dinner In My Room.,,,,,,
,79,There Was No One At The Desk When We First Walked In,,,,,,
,80,A Little Confusing About Parking  But We Live In Bristol  Park For 5 Seconds And You're Charged,,,,,,
,81,Straightforward And Professional,,,,,,
,82,We Were Shown To Our Room And Offered Tea/Coffee  However It Would Have Been Nice To Know That This Was Complimentary. It Would Also Have Been Nice To Know That The Water In The Rooms Was Complimentary.,,,,,,
,83,We Were Offered Tea/Coffee On Arrival To Our Room  However It Would Have Been Nice To Know That This Was Complimentary. Also A Note By The Water To Say That This Was Also Complimentary.,,,,,,
,86,It Would Have Been Nice To Sit By A Fire And Enjoy Our Coffee - But The Only Fire Was In The Reception By The Draughty Door - The 'Snug' Has No Fire And Is Effectively A Corridor To The Rooms.  We Were Surprised There Was No Cosy Lounge.,,,,,,
,94,Service Throughout Was Excellent,,,,,,
,98,Something I Know You Have No Control Over  But Car Parking Would Be Wonderful.,,,,,,
,99,Fantastic!!!,,,,,,
,100,Organised Everything Through Emily. She Was Very Helpful,,,,,,
,104,Unfortunately The Person I Spoke To On The Phone When Booking Our Dinner For 3 Nights Booked The Time Requested (7.30Pm) For One Night Only. Not A Major Problem  But We Had Guests Travelling From Far Away And Couldn't Eat Until 8.30Pm One Night.,,,,,,
,110,Person Greeting Us Was Not Particularly Interested. It Was Almost As Though We Were Disturbing Him !,,,,,,
,111,Excellent Staff,,,,,,
,113,Very Helpful Regarding Parking And Mobility Issues,,,,,,
,125,My Husband Arrived Ahead Of Me And Was Given A Tour And Really Felt This Was A Good Way To Start The Stay. Parking Was Easy Which Really Helped And The Team Put Our Minds At Rest That We Had Parked Correctly.,,,,,,
,136,Arrival Very Slick  Liked Being Escorted To My Room Straight Away,,,,,,
,139,After Telephone Booking I Received A Very Detailed Confirmation Email From The Hotel. On Arrival Was Told That We Had Been Upgraded From A Classic Double To A Superior Double. Considering We Were Already On A Special Package This Was Appreciated. We Were Then Provided With Complimentary Coffees.,,,,,,
,143,Receptionist Helpful And Carried Our Cases To The Room. No One Explained Where There Were Places To Sit And Have A Cup Of Tea And In The End We Were Put In The Dining Room When We Would Have Preferred A Lounge Situation At 4 Pm. We Were Happy To Stay At The Dinner Table After Our Excellent Meal  But There Was Nowhere Else For 6 Of Us To Go As The Only Small Sitting Room We Found Was Reserved For Another Party To Use After Dinner. Staff Helpful About A Birthday Cake And Storing It Until We Left Next Morning.,,,,,,
,147,When I Telephoned To Make A Reservation A Few Days Prior To Travel I Was Quoted An Extremely High Room Rate.I Expressed My Disappointment And Stated That Laterooms Was Advertising A Much Lower Rate And Very Quickly I Was Told That The Hotel Would Match The Rate.I Was Disappointed That I Hadn't Been Offered A More Competitive Quote In The First Instance. On Arrival At Hotel No One Was On Reception And We Had To Wait Several Minutes.However The Receptionist Was Welcoming And Apologised For The Delay.,,,,,,
,151,2 Negatives The First And Most Important Was The Unhealthy Environment Of Room 14. Not A Particularly Attractive Room But The Major Problem Was The Room Temperature Which Must Have Been 40O Plus At 5Pm The Room Is Secondary Glazed And It Was Only Possible To Open A Portion Of The Windows  30 Minutes After Opening These The Room Temperature Was Still Above 35O The Receptionist. Was Very Helpful And We Were Able To Relocate To A Room With Normal Temperatures Lastly We Booked The Room 4 Weeks Prior To Our Arrival On Sunday  Nobody Told Us At The Time Of Booking Or At Any Time Before Our Arrival That Use To The Street Fair We Would Be Unable To Park Anywhere Near The Hotel  This Was A Serious Problem As We Had Several Bags And Clothes Which Had To Be Manhandled . The Feathers Must Have Been Aware Of This But Decided To Keep Us In Ignorance,,,,,,
,155,Always Polite And Professional Yet Informal/Casual. Hard Combination To Get Right!! Made To Feel Very Welcome. Kind Of The Receptionist To Point Out The Travelzoo Offer When Booking Afternoon Tea And Interested In Overnight Stay.,,,,,,
,158,Very Welcoming. Lovely Cup Of Coffee.,,,,,,
,164,See Email Sent To Pride Of Britain,,,,,,
,165,See Email To Pride Of Britain,,,,,,
,166,The Whole Experience Was Really Good,,,,,,
,171,Every Staff Member We Had Contact With At The Feathers Was Courteous And Helpful During The Arrangements Before Our Wedding And On The Day And The Following Morning,,,,,,
,178,No,,,,,,
,179,All The Staff Were Very Friendly And Extremely Welcoming,,,,,,
,180,Thank You Peter For A Very Warm  Professional And Engaging Welcome At The Feathers. Our Delegates (International Hospitality And Tourism Educators) Were Very Impressed With You And Your Work So Far.  From A Professional Point Of View Everything Was Spot On With The Exception Of The Tables Outside Which Were Quite Dirty (Stains  Un-Emptied Ashtrays Etc).   ,,,,,,
,181,Really Enjoyed Our Stay  Staff Were All Lovely  Receptionist On Arrival Went Out Of Her Way To Ensure That We Had The 'Quiet' Room That I Had Requested.  I Was Then So Impressed With Suite 5 That We Choose It Even Though It Was On The Road And Not That Quiet!  It Didn't Detract From Our Overall Enjoyment.  The Food Was First Class.  Must Get On Trip Advisor And Leave The Feedback You Deserve.  Should I Have To Find A Negative It Would Be That The Shower Head In Suite 5 Was Awful!  Overall A Definite 10 Out Of 10,,,,,,
,186,We Were Running Late But We Were Welcomed & Reassured The Restaurant Would Informed & Ready For Us.,,,,,,
,189,Unable To Find A Parking Space,,,,,,
,193,Initial Booking Was Great.  A Problem With Your It System Meant I Received Two 'How Was Your Stay?' Emails Before We'd Even Arrived!  Our Check In Was Interrupted By Some Restaurant Guests Wanting To Settle Their Bill  But Otherwise Went Smoothly.,,,,,,
,194,We Had A Fantastic Experience Staying At Your Hotel  From The Upgraded Room And Rose Petals To The Delicious Gin Tasting Session.  Thank You So Much!,,,,,,
,195,We Were Able To Take Our Dog Who Was Made Very Welcome.,,,,,,
,196,As Stated We Have Not Been Yet  Coming In September.... The Drinks Are On You!!!!!!,,,,,,
,197,Hotel Room And Communal Parts  Far Too Hot,,,,,,
,198,We Did Struggle To Find Somewhere To Park But Obviously This Isn't Your Fault!,,,,,,
,199,I Phoned To Book A Table For Dinner Then Received An Email A Week Later Asking If I Would Like To Make A Dinner Reservation.,,,,,,
,200,Great Gin ,,,,,,
,202,Friendly Is Good  Welcoming Is Great  But Don't Overwhelm Me. It Should Feel Like Coming Home - If A Little Bit Cooler  Chicer And Definitely Tidier!,,,,,,
,205,Staff Very Helpfull And Welcoming,,,,,,
,207,We Were Surprised That We Had Not Been Told Our Room Would Be On The Third Floor And That It Was Not Suitable For The Elderly Or Those With Mobility Problems.,,,,,,
,214,Was Contacted 4 Times Asking For My Credit Card Number  Number Given Each Time.  Filled In Form On Arrival With Card Details Given.  On Leaving Asked Again As The Incorrect Number Was On The Your Form,,,,,,
,215,Although Busy The Receptionist Was Really Helpful,,,,,,
,217,Staff Very Welcoming  Easy Check In,,,,,,
,225,We Have Already Done A Similar Crit On The Otel  It Was Absolutely Terrfic  Food Good  Staff Good Only Problem (For Us) Was The Room  Being Up At Top Of The Building,,,,,,
,226,Best Stay We Have Ever Had  Staff Excellent And Even Called Evening Prior To Ensure We Were Still On Track To Arrive That Evening - Will Be Visiting Again!  Many Thanks,,,,,,
,233,Excellent Service ..,,,,,,
,234,My Wife And I Cannot Speak Highly Enough Of The Wonderful Stay We Had At The Feathers.We Were Celebrating My Wife's Birthday And The Staff Could Not Have Made Us More Welcome.The Meal In The Restaurant On The Saturday Evening Was As Good As Anything We Had Experienced Anywhere And The Service Was Exemplory.Please Thank Everyone For A Delightful Stay. Regards Malcolm And Margaret Evans,,,,,,
,235,Liked The Fact That The Gentleman On Reception Took The Time To Show Us Around The Hotel Before Taking Us To Our Room.,,,,,,
,238,All Staff Were Very Welcoming And Professional. The Decor Is Wonderfully Individual Both In The Room And In The Hotel. It Was A Delightful Stay And We Look Forward To Visiting Again.,,,,,,
,242,It Was Odd To Receive A Request For Comments On My Stay Before It Had Taken Place!,,,,,,
,244,I Booked Four Rooms For My Family.  My Mother Was Upset That Her Room Smelt Musty On Arrival And Had To Ask For The Room To Be Aired.  Your Staff  Of Course  Did This But Unfortunately The Inital 'Wow Factor' Was Tainted For My Parents.,,,,,,
,245,I Personally Would Have Preferred Tea Making Facilities In The Bedroom - Although It Was Offered On Arrival And Told Could Request - For That Early Morning Cup Of Tea Much Easier To Make Yourself Especially If Other Person Is Asleep And You Don't Want Them Disturbed By Someone Bringing Tea Up To The Room.,,,,,,
,252,Excellent Stay And Great Service,,,,,,
,253,I Was Told That Parking Was Available Outside The Hotel. My Daughter And I Spent Half And Hour Looking For A Parking Space. Although He Was Offered Help With The Cases My Husband Did It Himself And Fell Up The Stairs. Please Ignore Elderly People Who May Have Difficulties With The Steps. Our Room Was Not A Twin And We Were Moved. I Think You Should Be Advised That The First Room Key Also Fitted The Room Next Door.,,,,,,
,254,Even Although My Husband Said He Would Take The Cases Up Himself I Am Afraid The Stairs Are Not Conducive For An Elderly Man To Navigate With Luggage As He Fell Up The Stairs When I Came In It Was Only To Find That The Key To Our Room Also Fitted The Other Room Next Door 23/24 And That Our Room Was Not As We Required.  It Was A Double Rather Than A Twin. Also My Daughter Found The Room 14 Extremely Cold And Had Go Ask For An Extra Blanket. She Was Still Cold.,,,,,,
,263,We Were Disappointed That The Gourmet Sunday That We Had Booked Was Withdrawn.  We Were More Disappointed That You Did Not Contact Us About This  We Only Found Out From Subsequent Viewing Of Your Web Page.  We Had To Ask Rather Than Be Told By You. We Have Also Been Confused To Receive 2 Feedback Requests Before Even Staying With You.,,,,,,
,264,Very Helpful In Respect Of My Wife's 'Diet' (Not A Meat-Eater  And Doesn't Like Garlic!),,,,,,
,268,Ipod Dock On Bedside Table Did Not Work. Not Important To Us But Thought We Would Mention It.,,,,,,
,269,Staff In Reception Were Very Helpful And Informative.,,,,,,
,270,Receptionist Very Helpful In Carrying Bag To The Very Top Room.  Little Useful Information Provided  Eg. On Street Car Parking Restrictions Or Not.  It Would Be Helpful To Have Set Out Clearly Exactly What Our 3 Day Package Comprised As It Was Never Clear From Website And No Information Given Upon Arrival,,,,,,
,277,All Staff On Contact And Arrival Very Helpful And Friendly.,,,,,,
,280,All Was Very Good,,,,,,
,286,The Only Disappointment Was Having To Ask To Have My Bottle Of White Wine  Ordered With My Evening Meal  Placed In An Ice Bucket After It Had Been Left On The Table For Over Half An Hour. All Other Guests Had Their Wines In Ice Buckets. Also My Husband And I Had Empty Glasses From Our Pre Dinner Drinks Left On The Table And Again I Had To Ask To Have Them Removed As The Main Course Was Served. Small Points But They Are The Reason Why I Haven't Selected 'Strongly Agree' Above.,,,,,,
,287,A Surprise Celebration Weekend Was Ruined To Many Things To Say But Will Be Talking With The Manager When He Returns From Honeymoon !,,,,,,
,289,I Did Mention That My Husband Had Mobility Problems And Used Sticks.  Pre-Arrival I Was Told That There Was No Lift But We Would Be Accommodated On As Low A Floor As Possible.  However  Our Room Was On The 4Th Floor With A Number Of Stairs To Reach It.  But We Coped And It Did Not Affect The Enjoyment Of Our Stay.  We Are Thinking Of Visiting Again With A Friend With More Severe Mobility Problems (Although Not Wheelchair Bound) And Wonder How She Would Be Accommodated.,,,,,,
,291,The Welcome  The Room  The Food Were All Excellent,,,,,,
,294,Noisy,,,,,,
,295,Hotel Manager Was Very Keen To Help Us With Bags Etc - Especially As The Room Was Difficult To Access With Suitcases!,,,,,,
,302,We Were Both A Bit Disappointed With Our 'Dog Friendly' Room Because It Wasn't As Nice As The Photos On Your Web Site.  We Know That We Had A Good Deal Price Wise But The Room Was Quite Small And Rather Tired And Dark.,,,,,,
,303,Other Than The Fire?,,,,,,
,309,The Room Was Very Hot,,,,,,
,310,No.,,,,,,
,312,Website Had Promised Jelly Beans In The Room...Had Just Told Husband Before We Got To The Room  But No Jelly Beans! Website Should Be Changed  Bit Disappointed (Although Not Massively!).,,,,,,
,313,The Girl On Reception Did Her Job Well. Waiters I Think Came From Falti Towers.,,,,,,
,316,I Experienced Difficulty In Parking Which Took Me Almost An Hour Driving Around Woodstock Before  Finding A Place To Park.  However The Staff Were Sincerely Apologetic And Understanding And Did Their Utmost To Make Sure That Our Stay Was As Comfortable And Enjoyable As Possible  The Hotel Manager And Reception Staff Were Superb Both In Their Warmth And Professional Manner.,,,,,,
,317,Rosie And Warren Great Over Email. Reception Who Welcomed Us On Arrival Was Great Too. All Waiting Staff Were Very Friendly And Informative,,,,,,
,327,We Will Complete Survey After Our Visit In August,,,,,,
,328,This Was Our Second Visit - We Came For The First Time In October - And We Just Love The Feathers And Everything About You,,,,,,
,332,Very Welcoming,,,,,,
,335,The Promotional Offer We Purchased Included Supper And Breakfast  Whilst This Was A Very Good Value For Money Opportunity The Explanation Via The Website Of The  5 Course Dinner Was Insufficient. It Was Not Made Clear That The Menu Was A 'Fixed Menu' Option. However  This Was Delicious And We Are Not Complaining! Just A Thought From A Marketing Perspective  A 5 Course Supper Is Not Everyone's Ideal  An Alternative Choice Option  Would Have Been Nice.,,,,,,
,338,Difficult Car-Parking,,,,,,
,340,I Called Ahead To Advise My Husband Was Lactose Intolerant And This Was Confirmed Prior To Arrival And Made The Stress Of Making Sure Everything Went Smoothly,,,,,,
,342,Fantastic Artistic And Ready To Appeal To Every Different Type Of Person Thankyou,,,,,,
,343,Fantastic,,,,,,
,348,Offering To Carry Bags Is A Nice Touch,,,,,,
,349,The Receptionist Was Very Helpful When She Realised My Husband Was Disabled She Went Out Of Her Way To Accommodate All Our Needs,,,,,,
,352,Was Quoted A Price Then Phoned To Confirm The Next Day The Prices Had Gone Up!  Nearly Walked Away At That Point.,,,,,,
,353,Warren Was A Bit Stroppy On The Phone When I Asked If That Was The Best Price He Could Do After Being Quoted A Much Better Price A Few Days Before.,,,,,,
,354,Excellent Welcome On Arrival And Upgraded When Asked.,,,,,,
,364,You Need To Offer An In House Pressing Service.,,,,,,
,371,We Tried To Book With Your Website But Nothing Available. When We Tried Through Late Rooms We Got A Room. Didn't Really Understand That. Maybe We Should Have Rung Direct. Will Definitely Stay Again.,,,,,,
,376,No Mention Of Specal Offers Given When We Booked With A Voucher And My Daughter Was Assured Such Would Be Available When We Booked With The Voucher . I Noticed That Dinner B&B Winter Break Was Advertised Outside Your Hotel And We Were Not Offered This Rate !?,,,,,,
,377,Welcoming Staff,,,,,,
,380,Shown To  And Around The Room. Nice Touch,,,,,,
,383,My Wife And Did Not Like The First Room Offered To Us It Was Ground Level In The Court Yard Very Dark Etc. Struck Me As Being A Room For A Visitor With Disabilities. We Were Then Shown The Red Kite Room Which Was Fine.,,,,,,
,386,Checking In Was A Bit Slow,,,,,,
,389,Lovely Hotel But We Stayed In Room 29 Mallard  The Room Had A Very Strange Noise Which Went On Into The Early Hours And Started Again At 6Am So Not A Good Night's Sleep - We Did Report It To Reception And Recorded The Noise  But Nothing Happened About It Or Any Explanation Given. Also Service In Restaurant Was Very Slow And Wrong Wine Was Served And We Had A Complain Three Times Before It Was Changed  Another Customer Had The Same Problem. Kind Of Took The Edge Off The Stay  However Woodstock Is A Lovely Place And We Would Consider Staying Again. ,,,,,,
,390,Lovely Food  Wine And Comfy Bed.,,,,,,
,391,Very Welcoming And Everything Straightforward And No Major Issues When Checking In Which Is A Massive Plus!!,,,,,,
,395,No Tea Or Coffee Making Facilities In The Rooms!,,,,,,
,402,Very Efficient Staff.,,,,,,
,414,Rosie And Warren Were Both Very Helpful And Fast At Answering My Questions Via Email,,,,,,
,415,I Found All The Staff To Be Very Warm  Efficient And Friendly. However  I Felt That Some May Find The Service Too 'Casual' If They Are Accustomed To The Standard Hotel Service In Big Cities (I Personally Found It Appropriate). Your Website And Its Overuse Of Pink Makes Some People Avoid Staying At The Hotel  I Feel. It Certainly Made Me Worry About My Decision To Stay And I Did Witness Certain 'Differences' In Our Taste In Varioys Areas Of The Room And Offer Facilities.,,,,,,
,418,The Receptionist Seemed Rather New In Her Job And Hence Not As Able To Answer Queries Quite As Readily As We Might Have Expected.  However  She Was Very Pleasant And Tried Her Best To Assist.,,,,,,
,420,Rosie Was Very Helpful In Sorting Out Several Queries And The Booking Itself. Upon Arrival The Gentleman On The Front Desk Was Polite And Chatty. It's A Great Place!,,,,,,
,424,The Stay Was Good But The Taster Menu Was Too Small. We Had To Go For A Meal Straight After As Were Were Still Hungry. This Was A Big Let Down For Us.,,,,,,
,425,Hotel Lacked Wi- Fi Access In Our Room And Only Had It In Very Specific Locations Such As Sofa At Bar.,,,,,,
,426,We Look Forward To Our Visit. Send The Questionnaire After We Leave.,,,,,,
,428,Pre Arrival Info & Comunication Excellent - Emily I Think . Arrival Poor - Other Than Being Shown To Our Room And Gven The Pink Leaflet Nothing Was Said.,,,,,,
,429,Pre-Arrival Emails - Excellent.  Very Impressed.  Greeting Upon Arrival Very Friendly.  Food Excellent. Rest Was Poor.  Customer Service Was Appalling.  Room Was Noisy And Outside Of Main Hotel Which We Weren't Expecting.  Stair Case Next To Our Room - Where The Head Of The Bed Was And Rooms Above - Noisy.  Upstairs Guests Going In And Out  Staff Delivering Newspapers  And Later On Room Services (Between 7.15-8Am) Really Noisy So Hardly Restful.  Friday - 40 Minutes Of Sitting In Study Before Being Acknowledged Despite 3 Staff Walking Past And Another Couple Actually Being Served Coffee Right Next To Us. Eventually Asked If We Would Like Refreshments By A Different Staff Member - Afternoon Tea Was Very Nice And The Waiter Very Friendly.  When Arriving For Breakfast  I Asked The Receptionist (Male) If We Should Wait Before Entering The Restaurant Or Go Straight In  He Didnt Respond And Continued To View His Pc.  We Went In.  Breakfast - No Tables Available When We Arrived At Approx 9.45Am  All Were Dirty. No Staff Around. So We Stood And Waited.  Table Was Laid Up For Us.  Breakfast Was Very Nice.  We Had Supper In The Hotel On Saturday Night And The Food Was Excellent.  Breakfast On Sunday  Repeat Of Previous Day Only Worse.  No Tea  Coffee  Juices Offered.  No Cereals Bowls.  We Weren't The Last To Arrive So Others Would Have Found The Same Issues. Seemed Surprised That Guests Would Actually Appear For Breakfast!  When Attempting To Check Out  We Had To Find The Staff As There Was No Receptionist.  When A Staff Member Was Found  They Had To Find Someone To Check Us Out.  15 Minutes Later We Managed To Leave.  So  No  We Wouldn't Return.  We Stayed In The Lords Last Year And  Although We Didnt Expect The Same  The Difference Is Quite Amazing.   Your Reputation Brings Guests  Your Customer Service I Think  Will Ensure They Dont Return.  Sorry.  ,,,,,,
,430,Friendly And Unfussy But Warm,,,,,,
,437,Loved My Stay - Slight Suggestion Would Be To Have A Gin Cocktails List As With The Array You Have Would Be A Nice Way Of Complimenting This As Opposed To Just A Normal Cocktail List.  Certainly Will Be Staying Again In The Future.,,,,,,
,441,All Staff Were Extremely Helpful Before And During Our Stay,,,,,,
,442,None At All  Very Pleasing.,,,,,,
,443,I Think The Hotel Is Lovely. We Travel A Lot With Work So We Do Have High Standards. I Think The Staff Let You Down Though. You Do Need Someone At The Bar At All Times. We Witnessed 2 Guests Calling One Of Your Staff Rude  But She Was Great With Us. The Hotel Really Lacks Atmosphere - There Is No Buzz And I Think That Comes Down To Your Staff  Lots Of Smiles  Chatting To Customers. I See That This Is A Constant Them On Review Sites. Rosie Was Very Good Upon Arrival  Everyone Was Cordial But You Need That Extra 'Zing'. By The Way  Great Food In The Restaurant But The Breakfast The Next Day Wasnt So Great. Continental Breakfast Choice Was Really Poor And Service Was A Let Down. The English Breakfast Was Great Though. Just Little Niggles  And If These Are Sorted Out  It Would Be A Buzzing Little Venue. By The Way - Will You Put Tea And Coffee Makers In The Rooms? Makes Such A Difference. Many Thanks,,,,,,
,450,I Am Vegetarian And The Man Who Took Our Bookings Asked Upfront About Dietary Requirements. I Was Really Impressed With That.,,,,,,
,452,All Contact Was Very Pleasant,,,,,,
,453,Our Stay Coincided With A Wedding Party And The Bar Area Was Unavailable,,,,,,
,455,Should Be Advised Of Difficulty In Getting Up Stairs,,,,,,
,459,The Gentleman Who Booked Us In Was Very Welcoming  Professional And Friendly,,,,,,
,461,The Gentleman At Reception Was Amazing Really Warm And Welcoming But Very Professional At The Same Time,,,,,,
,464,Pre-Arrival Contact: I Did Find Pre-Ordering Of Dinner To Be Very Time-Consuming And This Would Put Me Off Bringing A Large Group For Dinner Again,,,,,,
,476,All Excellent,,,,,,
,477,Very Pleasant Receptionist -Emily,,,,,,
,478,No,,,,,,
,483,It Was Better Than The Dorchester In London....,,,,,,
,488,A Bit Chaotic On Arrival. But We Had A Lot Of Luggage And The Reception Area Is Cramped. The Porters Were Exceptionally Helpful.,,,,,,
,489,Person I Spoke To On The Phone During Initial Booking Was Very Helpful And Friendly,,,,,,
,493,The Staff Are Unusually Friendly And Helpful. It Is Rare To Get This Level Of Professionalism In The Uk,,,,,,
,494,Booking Our Stay Was Very Easy And So Nice To Get Personal Responses To Emails And Promptly Too. Rosie In Particular. Queries Dealt With By Whoever Picked Up The Phone - No Transferring Between Departments Or Difficulties Because Calling Outside Office Hours. So Nice To Arrive And Not To Have To Go Through Any Lengthy Checking In Process - Were Just Taken Straight To Our Room.,,,,,,
,506,Only Negative Thing I Can Say Is To Suggest Is That Your Evening Dinner Menu In The Restaurant Appeal To A Wider Market. The Food Is A Work Of Art And It Is Clear That Your Chef Takes Pride In His Work But Some People Would Just Like A More Simple Fillet Of Beef And/Or Chicken Dish. We Stayed Recently For A Wedding Anniversary And Dined In The Restaurant But The Evening Didn't Go To Plan As There Were No Dishes That Appealed To Me So I Had To Ask For The Beef Dish To Be Cooked Differently And I Made It Clear That I Did Not Like Rare Beef. When My Meal Came It Was Pink And Rare So I Had To Send It Back. By The Time My Meal Came Back My Husband Had Finished His Dinner So We Did Not Get To Dine Together. The Restaurant Manager Dealt With This Situation In An Excellent Manner But It Could Have Been Avoided If There Were Just A Couple Of 'Simpler' Dishes On The Menu.,,,,,,
,509,No Comments As I Have Not Stayed.,,,,,,
,510,Room Was Ready Early Which Was Excellent. Also Your Check Out Time Of 1130 Is Fantastic. Means No Pressure.,,,,,,
,517,Telephoned Far Too Late To Be Informed That Kitchen Was Closed,,,,,,
,521,We Would Have Appreciated Warning That Our Room Was Up Three Flights Of Steepish Stairs. I Am A Reasonably Fit 83 But Found The Stairs A Struggle,,,,,,
,524,Very Prompt Reply Via Email When We Had Some Queries. Staff Very Polite Throughout Stay.,,,,,,
,532,The Young Lady On The Door  Im Sorry I Didnt Catch Her Name  Was Very Welcoming,,,,,,
,536,Poor Reception Staff At Checkout.,,,,,,
,540,Very Nice And Helpful Staff.  Wifi Very Weak. Had To Go To Another Location To Connect.,,,,,,
,543,Jessica Very Helpfull,,,,,,
,545,No Email Confirmation Of Dinner Booking Time As Requested But It Was Correct When We Arrived,,,,,,
,551,Excellent Service Throughout. I Was Booking A Group Stay For 4 Rooms/8 People For My Sister's 40Th Birthday.,,,,,,
,553,Every Member Of Staff Were Warm And Friendly. It Is Always Service With A Smile And A Chat.,,,,,,
,557,Daina (I Think That Was Her Name) Was Very Pleasant And Helpful ,,,,,,
,558,Just Thought The Carpet In The Restaurant A Little Loud And The Ornaments On The Shelves A Little Odd And Crowded.  Loved The Courtyard  The Food Etc...,,,,,,
,567,Reception Girls On Our Arrival Very Pleasant But Not Fully Conversant,,,,,,
,572,Room Was On The Top Floor Of The Adjoining House With Lots Of Stairs  Not A Problem For Us But Could Have Been And Maybe Worth Exploring/ Mentioning When Booking,,,,,,
,578,Very Friendly And Efficient,,,,,,
,581,Friendly Staff..,,,,,,
,582,We Had Asked For A Taxi To Be Booked To Take Us From The Station  And Despite Having This Confirmed By Email  No Taxi Was Booked And We Had To Wait At The Station For 20 Minutes Until A Replacement Could Be Ordered.,,,,,,
,584,Tried To Book On The Website Twice So Had To Phone In The End And Could Not Get The Date I Wanted,,,,,,
,585,Receptionist Was Extremely Helpful,,,,,,
,588,The Receptionist/Concierge On Duty On The 25Th And 26Th Was Unfailingly Courteous  Helpful And Welcoming - A Real Pro. She Had Arranged For Us To Have A Dog-Friendly Room Which Turned Out To Be Perfect.,,,,,,
,592,Everything Was Professionally Handled.,,,,,,
,599,The Lady That Booked Us In Was Very Polite But Did Not Seem To Know About The 4 Steps To Woodstock Which Included Afternoon Tea And Had To Check. I Showed Her My Email To Confrim This.  Only A Small Comment And It Did Not Spoil Anything.,,,,,,
