,Filters Applied,,,,,,,
,44,Room A Bit Dusty Around Tv With Glass Mark On The Glass Top To Tv. Body Lotion Would Have Been Good In The Bathroom To. When We Booked We Did Not Ask For The 'Disabled' Room And Would Really Have Preferred Not To Have That.  The Room Was However Fine And As It Was Only One Night Perfectly Adequate But Not Quite The Real Luxury What I Was Expecting.,,,,,,
,46,Unfortunately We Were In England During A Rare Heatwave.  As A Result We Found The Room A Little Warm.,,,,,,
,48,Room 43 - For The Price Paid There Should Be Tea/Coffee Facilities In Room. 2 Dirty Glasses Were Not Removed Or Replaced During Our 2 Nights Stay. A Dirty Tray Of Crockery Was Left Outside Suite Next To Our Room For 24 Hours.,,,,,,
,50,Room Was Quite Squashed  With 2 People In  One Of You Was Always In The Way.  Room Very Hot Even With The Window Open.,,,,,,
,51,Would Have Liked Tea/Coffee In Room  Room Far To Hot Even With Window Wide Open  No Means Of Cooling It Down.,,,,,,
,52,I Didn't Stay The Night Only Had Lunch,,,,,,
,53,The Room Was At The Top Of The Hotel And Not The Standard Of Room I Felt I Reserved.,,,,,,
,54,A Little Cold On Entry.,,,,,,
,56,I Was Surprised To Find That Tea/Coffee Making Facilities Were Not Provided. It Was Easy To Order Hot Drinks For Room-Service But The Convenience Of Being Able To Make Ones Own Was Missed.,,,,,,
,57,The Staff Offered Tea And Coffee In The Room But I Do Enjoy Having My Own Kettle So That I Can Have A Drink Whenever I Would Like.,,,,,,
,63,I Was Surprised To Be Given A Very Small Room Not In The Hotel But In A Dull  Drab Room On The Street Which Was Very Noisey. The Bed Was Not A Divan And Was Extremely Uncomfortable  The State Of The Bathroom Was Deplorable.,,,,,,
,65,Room 29  (Mallard) Lamp On Desk Needed The Bulb Changing  Not Working  And The Radiator In The Bedroom Was Only Just Warm.,,,,,,
,68,We Stayed In Room 42 And We Disappointed To Find That The Sheet On The Bed Had A Hole In And Was Stained. That,,,,,,
,69,It Was Shame There Were No Tea/Coffee Making Facilities In The Room (Which Considering The Cost Should Be Included). Also  There Was No Information Card/Booklet On The Hotel Telling Me About Breakfast/Check In Times Or Details Of What To Call For Reception. I Had To Call Reception Via My Own Mobile To Find Out Information! Plenty Of Info Re. The Local Area Was Available Though.,,,,,,
,70,Whilst We Appreciate The Building Is Very Old  The Furnishings In The Room Were Very Tired Looking And The Room Was Very Dark & Slightly Opressive. However  The Bed Linen Was Pristine And The Bed Itself  Very Comfortable,,,,,,
,72,Would Have Preferred To Stay In The Main Building,,,,,,
,73,There Were 3 Of Us In Suite Number 3 And I Got The 'Sofa Bed' - This Could Have Done With A Matress Topper As Really Quite Uncomfortable For An Adult. But Everything Else Just Lovely - A Real Home From Home.,,,,,,
,76,I Think I Was Suite 4.  It Was Very Hot And Wifi Very Patchy Which Isn't Great Nowadays And Considered Upacceptable By My International Delegates. Products In The Bathroom Have Disappontedly Changed To Something I Don't Recognise From Molton Brown.  They Are Not Replenished By Cleaning Staff When They Clean Each Day.  Ditto The Flannels  The Same One Is Left To Dry Out And No New Ones Put In - In 5 Days Of Staying There.,,,,,,
,77,Some Body Moisturiser Would Have Been Good,,,,,,
,78,The Room Was Charming Very Well Appointed. I Especially Liked The Selection Of Still And Sparkling Water.,,,,,,
,79,Suite 3: It Would Have Beem Convenient To Have A Free Plug Socket Near The Bed Or A Table For Phone Charging,,,,,,
,80,No  It Was Fine,,,,,,
,81,Suite 4. Excellent,,,,,,
,82,Room 43,,,,,,
,83,Room 43,,,,,,
,85,Loved The Bedside Light / Table Combo's,,,,,,
,86,The Room Was Ok  But I Would Not Describe It As 'Luxurious'.  Having To Walk Outside To Get To It Was Not Ideal  And In The Morning We Discovered That The Secondary Double Glazing Was Not Properly Closed On 3 Of The Panes  Letting Noise In Over-Night. The Turn-Down Service (If That's What It Was) Seemed Odd - On The First Night The Blanket On The Bed Was Removed  But Nothing Else Seemed To Have Been Done.  The Second Night Nothing Happened At All.  Only 1 Shower Gel Was Provided For 2 People For 2 Nights(!) And When The Toilet Roll Ran Out  The Spare Was Not Replaced.,,,,,,
,88,We Stayed With You For Three Nights During Which No Bathroom Products Were Replaced.  Also Would Strongly Suggest The Provision Of A Bath Mat For Use Whilst Showering As The Bath Was Very Slippery.,,,,,,
,89,All Good But Would Suggest A Bath Mat For Use In The Bath When Showering As Bath Was Very Slippery!,,,,,,
,90,We Were There For Three Nights  During This Time No Bathroom Products Were Replaced.,,,,,,
,93,It Was Too Hot During The Night!,,,,,,
,96,A Mini-Bar And Facilities For Making A Hot Drink Would Be Beneficial. The Bathroom Heating Was On In The Afternoon But It Was Cold In The Morning,,,,,,
,97,Upper Level Room. Rooms Were Quite Dark  It Was Very Hot And No Air Conditioning  One Sash Window To Let In Any Air. Had To Ask For A Fan. Which Was Provided.,,,,,,
,102,Would Have Liked Tea-Making Facilities In The Room And A Fridge.,,,,,,
,104,It Would Have Been Nice To Have A Kettle (For Hot Water And Hot Water Bottle!).,,,,,,
,105,Would Have Been Nice To Have Tea/Coffee Making Facilities.,,,,,,
,106,We Were Shown To Room 32 - Excellent. However  Due To An Awful Visiting Funfair We Had To Be Re-Assigned To A Quieter Room.  Room 14 Was A Lower Standard Room And Much Smaller.  Also  While We Could Not Hear The Funfair Noise There Was The Constant Humming From The Kitchen Fans  Just Beneath The Windows  Which Woke Me Up Early The Next Morning.,,,,,,
,107,The Room Layout Was Poor/Inefficient. The Bathrooom Ceiling Leaked And Flooded The Room.,,,,,,
,110,We Had Booked In As 3 People 2 Parents And Child And Provided With One Set Of Bath Products !,,,,,,
,111,We Stayed In The Courtyard Room. On Reflection I Would Prefer To Be In The Main Part Of The Hotel.,,,,,,
,117,Tea And Coffee Should Be Available In The Room.  Some Dust.,,,,,,
,120,Would Have Preferred To Have Tea And Coffee Making Facilities Within The Room,,,,,,
,121,Room 29 - A Very Long Climb To The Room  Fortunately We Are Reasonably Fit But Others Might Find It Difficult!      Also We Would Have Liked A Room Directory (As In Other Hotels) Giving Reception Phone Number And An Example Of Menus Available In The Restaurant.,,,,,,
,122,The Bathroom Was A Bit Of A Problem - The Plug In The Bath Had To Be Leavered Out The Next Morning By A Staff Member So That We Could Have A Shower.  Apparently A Known Problem.  The Curtain In The Bathroom Couldn't Be Closed  Which Was A Little Uncomfortable And Was Coming Off The Railing.  And The Table Lamp Wasn't Working Either And Nor Was It Fixed For The Second Night.,,,,,,
,125,We Had To Ask For Bathrobes Which We Had Expected To Find In Our Suite.,,,,,,
,126,It Was Dark And Rather Depressing. The Temperature Was Unbearably Hot.,,,,,,
,127,The Shower Head Needed To Be Cleaned.,,,,,,
,139,Room 43 The Bathroom Is Quite Small And Whilst Using The Wash Hand Basin The Bathroom Door Is Constantly Hitting You On The Back.,,,,,,
,140,We Were Given Very Top Of Hotel And Those Stairs Are Terrible,,,,,,
,141,Would Prefer To Have Been Told At The Time Of Makiong The Reservation That The Room Allocated Had A Disabled Ensuite,,,,,,
,143,A Lovely Room But Difficult For Both Of Us To Climb 2 Flights Of Awkward Stairs. Unfortunately The Ambience Of The Room Was Spoilt By The Droning Of The Extracter Fans From The Kitchen. We Were Told They Would Be Switched Off By Midnight But Sadly The Noise Continued All Night And I Hardly Slept - Even After Trying Earplugs !  Would Not Stay In Room 14 Again !,,,,,,
,144,Room 55: Stairs Awkward With Luggage,,,,,,
,145,Room 55: Stairs Quite Difficult With Luggage!,,,,,,
,146,It Was Incredibly Hot In Our Room - Had To Have The Window Open Which Meant We Heard All The Recycling Bins Being Picked Up Very Early In The Morning Which Was Very Loud!,,,,,,
,147,We Were Upgraded To Wren Suite Because There Had Been A Mix Up With The Superior Room We Had Booked.It Was A Nice Suite But I Would Have Been Disappointed If We Had Paid Top Rate For This Room.Thought The Lighting Was Insufficient And A Bit Gloomy And The Separate Lounge Area Was Not Particularly Welcoming. The Bathroom Was Very Nice But I Would Have Liked A Curtain On The Window As I Felt A Little Exposed When The Light Was On And Wasn't Entirely Sure If You Could See In From Outside. While The Room Was Very Clean  The Area  Between The Back Of The Toilet Seat And The Lid Was Dirty And I Found This Off Putting. I Would Have Liked To Have Completed A Customer Satisfaction Form But I Didn't Spot One In The Room.,,,,,,
,149,Having Seen The Photos Of The Rolltop Bath We Had Expected One And Was A Little Disappointed On Arrival But Our Room Was Lovely Still! We Were In Suite 2,,,,,,
,151,See My Comments Re Room14,,,,,,
,154,The Room Itself Was Good However As It Was Over The Reception. I Was Awoken At 6:30Am By The Reception Staff Either On The Phone Or Dealing With Other Staff.  So Great Hotel But It Really Depends On What Room You Get.  To Put It In Context  We Were Away For The Weekend Without Our Son For The First Time In 5 Years And Were Really Looking Forward To A Sleep In.  As It Ended Up We Were First To Breakfast And Probably First To Check Out.,,,,,,
,155,Suite 3. Weren't Expecting Suite Accommodation At Booking So Very Pleased To Stay In Suite 3! Beautiful Room.,,,,,,
,156,Suite 2. It Would Have Been Nice To Have Tea And Coffee Making Facilities In The Room. Whilst Admittedly There Was The Option To Call Reception For Tea And Coffee To Be Brought To The Room  This Seemed A Long-Winded Solution To Get Get A Cup Of Tea.,,,,,,
,160,No Problem But Over Priced,,,,,,
,164,S5 It Was Very Hot!!!,,,,,,
,166,We Were In Room 4 And It Was A Warm Night So We Had The Windows Open.  Unfortunately It Rained So The Noise From The A44 Was Quite Loud - Not Your Fault  But Would Choose A Room At The Back If We Were To Stay Again And Would Recommend Our Friends To Do The Same,,,,,,
,170,Room 33 Is Quite Dark.  Only One Chair In The Room Which Forced One Of Us To Sit On The Bed.  No Seat To Do Make Up And Hair Next To A Mirror Or A Plug Socket For Hairdryer Or Straightners Next To A Mirror Or Seat.  Bathroom Also Not Natural Or Strong Lighting For Make Up Application.,,,,,,
,174,Surprised To Find No Coffee / Tea Making Facilities,,,,,,
,177,We Were A Family Of 4 In One Suite.  Our Bath And Shower Products Were Not Replenished For The 2Nd Day Of Our Stay.  This Appears Somewhat 'Cheap'.,,,,,,
,178,Noisy Water Pump In Bathroom,,,,,,
,179,The Room Was Lovely And Very Relaxing A King Size Bed Would Of Been Preferred As My Partner Is 6Ft 6 So The Bed Frame Was A Little Short,,,,,,
,180,Did Not Use The Accommodation Facilities. You Should Have A N/A Box On Many Of Your Scales.,,,,,,
,181,Suite 5 Bed Was Extremely Comfortable  Windows Very Drafty But Only To Be Expected Considering The Age Of The Property.,,,,,,
,183,My Husband And I Both Found The Room Very Nice But The Pillows Very Disappointing. At A Hotel Of This Standard We Would Always Expect Down Pillows - The Ones On The Bed Were Lumpy And Uncomfortable. We Should Have Asked If It Was Possible To Swap Them  But Didn't Bother In The End. Overall  This Was The Only Flaw In An Otherwise Excellent Visit.,,,,,,
,185,Our Room (25) Was Poorly Decorated And Had Very Tatty Furniture  It Did Not Have Any Infomation Avalible In The Room Ie  Room Service Details  Check Out Etc. No Tea And Coffee Facilities Were Avalible In The Room And We Were Not Told We Could Request Complimentary Tea/Coffee On Our Arrival. Our Phone Did Not Work When We Arrived   However It Was Fixed After Soon After We Reported It.,,,,,,
,186,You Choose Not To Provide Tea & Coffee  Preferring To Send This Up When Required. Our Order After Dinner Was Vey Slow 30Mins Requiring Me To Go Downstairs And Chase  Giving The Impression We Had Been Forgotten. Only Blip With Services But A Shame.,,,,,,
,187,Appeared A Little Warm On Arrival And Once Settled With A Welcoming Pot Of Tea  We  Were Unfortunately Evacuate Due To A Fire In The Hotel! After A Few Hours We Were Able To Return.   I Have To Mention The Extremely Comfortable Bed. We Did Regret That In The Short Time We Had There We Were Not Able To Take Full Advantage Of The Wonderfully Comfortable Bed; Which Was Pure Luxury (Due To The Evac).,,,,,,
,188,The Rooms Are Lovely  But I Would Not Consider Them Luxurious. The Twin Room Was Very Small.,,,,,,
,189,The Bedroom Was Poorly Lit,,,,,,
,190,It Would Be Good To Have The Option Of Tea Making Facilities Whilst There Was A Note Stating That Morning Coffee Was Available To All Guests We Would Have Preferred To Be Able To Make Our Own. In The Bathroom The Option Of A Shower Cap Would Have Been A Blessing.,,,,,,
,191,It's A Minor Thing  I Found The Room To Be Dark And I Prefer Well Lit Rooms.  The Black Lapshades  Don't Help.  I Also Thought The Choice Of Draperies In Suite 2  While Of High Quality  Made The Room Darker By Having Them Joined At The Top Instead Of Having 2 Panels That You Could Separate To Let In Maximum Light During The Day.  On A Repeat Trip I Would Probably Try A Different Room.,,,,,,
,192,Pieces Of Plaster And Paint On Top Of The Bed From The Ceiling  Throughout Early Evening There Was A Great Deal Of Noise/Jumping From The Room Above  Obviously Causing The Plaster On Ceiling To Fall Off. Tea Making Facilities Would Have Been Nice  We Were Offered A Cup Of Tea And Then Charged Â£4 Per Cup For It!,,,,,,
,193,Room 32 - Overall Really Liked It,,,,,,
,194,Beautifully Set And And Scrupulously Clean!,,,,,,
,198,Suite 2  We Were Very Happy To Be Upgraded To This Lovely Suite And It Was Beautifully Clean  Spotless  I Liked The Fact That Your Toiletries Smelt Nice  We Go Away A Lot And They're Usually Always A Very Masculine Scent But Yours Were Nice And Both Me And My Husband Were Happy To Use Them.,,,,,,
,199,Suite 1 The Water Stopped While I Was In The Shower And I Had To Rinse Shampoo Off My Hair In The Sink But Only Boiling Hot Water Was Coming Out. We Were Given Another Room But Nobody Offered To Help Us Move Our Things Which We Had Unpacked. There Is No Kettle In The Room Which Is A Basic Facility ,,,,,,
,204,It Was Extremely Hot Overnight Despite Having The Window Open.Also It Was Noisy With A Lot Of Door Banging About 11.30Pm  Not Sure If This Was Staff Going Through One Of The Private Doors Nearby Or Just Finishing Up For The Night.,,,,,,
,207,29. Tea Making Facilities Should Be In Superior Rooms.,,,,,,
,208,The Bathroom Seemed Quite Cold,,,,,,
,212,The Water Pump Woke Us Up At 7Am And Was Very Disruptive. I Am Heavily Pregnant And Came To The Feathers To Relax And Catch Up On Rest  So This Was Far From Ideal.,,,,,,
,214,42 Exceptional Amount Of Dust Around Scrolls On Furniture. Bathroom  Hand Basin Tap Difficult To Use Without Splashing Water Everywhere.,,,,,,
,215,51 Very Lovely Room,,,,,,
,216,Initially Thought That The Relatively Noisy Ventilation Unit/Extractor Outside Our Room Would Be An Issue  But In The End It Didn't Bother Us. Lovely Room Otherwise.,,,,,,
,217,Suite 3 - Room Was Fine  Bathroom Walls Above The Door Were Dusty. Room Serviced On First Day But No Toiletries Replaced - We Called Reception And They Were Sent Up,,,,,,
,220,4Foot 6Inch Bed Too Small,,,,,,
,222,The Furniture Was Covered In Dust And The Mirrors Left A Lot To Be Desired.,,,,,,
,229,Would Have Appreciated Being Able To Make Tea And Coffee In The Room.,,,,,,
,232,The Bedroom Was Really Hot - We Opened Windows But If You Ever Consider Aircon In The Rooms This Would Be Of Great Benefit.,,,,,,
,233,No,,,,,,
,235,We Stayed In Room 25.  We Liked The Large Bed That Was Very Comfortable.  The Bathroom Was A Bit Small But Well Appointed.  Bath And Shower Excellent.  The Room Was Rather Warm But There Was A Fan Available If We Needed It.  We Were Woken Up Very Early Morning By The Bin Men But It Didn't Spoil Our Stay.,,,,,,
,236,Cobwebs Hanging From The Ceiling Over The Window.  Cobwebs In Window And Coving Over The Door.  Thick Dust On Top Of The Curtains. Bath Had Water In It As Taps Not Able To Be Closed Off Properly.  Childs Medication Left On Mantlepiece Of Fire.  Long Hairs On The Duvet.  Only One Chair To Sit And Relax!  Light In Wardrobe Not Working.  We Found The Bed Uncomfortable And Too Small For A Superior Room.  Pillows Were Too Small And Lumpy And Not Comfortable.  Sparkling Water Had Been Opened And Was Flat.,,,,,,
,239,This Is The Only Hotel I Have Stayed In Which Did Not Provide Free Tea/Coffee Facilities Within The Room And The Absence Of A Mini Bar/Fridge. There Was No Bubble Bath For The Bath  Only Shower Gel.,,,,,,
,244,There Was No Shampoo Provided.  Only Shower Gel And Bubble Bath.,,,,,,
,247,The Mattress On The Bed Was So Uncomfortable That We Both Awoke With Sore Backs.  We Were Awake At 7Am As The People Above Us Were Moving Around The Room A Great Deal And The Ceilings Were Really Creaky!  It Is An Old Building  So Doubt You Can Do Much About That But Definitely Time To Change The Mattress.  We Were Staying In The Ground Floor Outbuilding With The Disabled Access Wet Room.,,,,,,
,248,25 We Would Have Liked Tea Making Facilities. The Jelly Beans Were A Nice Touch  But If Left In The Jar For Any Length Of Time They Do Stick Together And Are Not Accessible. It Would Be A Good Idea To Empty And Refill For Each Booking So That This Does Not Happen.,,,,,,
,253,Suite 3. I Found The Hot Towel Rails Were Unfortunately Far Too High To Be Of Any Use For More Than One Towel,,,,,,
,256,We Would Have Liked A Larger Bed,,,,,,
,257,25 Wifi Would Be A Nice Feature In The Room.,,,,,,
,259,Suite 1. No Hand Cream Or Shower Cap! Sorry To Be Picky!,,,,,,
,263,Bathroom Very Clean. Room A Little Dark.,,,,,,
,264,I Made The Point When We Left That The Hot Water System Had Struggled With The Very Cold Weather To Provide A Hot Bath - It Was Ok In The Basin - And Double-Glazing Might Have Been A Plus!,,,,,,
,265,I Would Have Liked A Shower Cap.  Also  On Of The Blinds Was Broken So It Had To Remain Down All The Time.,,,,,,
,266,We Were In Room 42 And It Was Quite Dark  As There Was Only A Relatively Small Window. Not Much You Can Do With The Room Configuration  But We Prefer Brighter Rooms.,,,,,,
,269,The Ipod Doc On The Bedside Table Did Not Appear To Work. We Did Not Mention It At The Time As It Wasn't Important To Us. The Bottle Collection On The Weds Morning Was Noisy But That Can't Really Be Avoided.,,,,,,
,271,Bed Not As Comfortable As Others In Similar Hotels,,,,,,
,276,Room Was Well Appointed  Comfortable And Clean Although No Coffee / Tea Making Facilities Were Available In The Room.,,,,,,
,277,I Had Read Reports From Customers Who Said They Loved The Jelly Beans In Their Rooms So Dissapointed We Did Not Get Any.,,,,,,
,278,Room Number 32 There Was No Tea Or Coffee Making Facilities However Everything Else Was Excellent,,,,,,
,282,First Room We We're Put In Very Dark And Drab  Up On The Third Floor   Ask To Be Moved   Went To Room 28 Much Better But Bathroom Needed Attention Peeling Paint Work Around Shower   Toilet Seat Stained And Needed Replacing And Two Towel Rails Which Didn't Work  Dressing Table Mirror Needed Repair As It Wouldn't Stay Upright   Do You Not Have A Housekeeper Checking These Things? We Booked On A Sunday Evening Thinking We Would Get A Decent Room   But So Disappointed .,,,,,,
,283,Would Of Liked Hot Drink Making Facilities .,,,,,,
,284,Tea Making Facilities Would Have Been Appreciated,,,,,,
,286,It Was Lovely And The Bottles Of Water And Jelly Beans Were A Nice Touch.,,,,,,
,288,Room Was Very Basic  No Bedside Tables Or Lamps  No Tea/Coffee In Room  Noise From Aircon Units Below  Bed Not Very Comfortable. When I Called For Coffee Sunday Morning It Took 3 Minutes For The Phone To Be Answered,,,,,,
,292,No Coffie Or Tea Im Room,,,,,,
,293,It Was A Sunny Day And The Room Had Become Far Too Hot. Fortunately The Window Opened. However  The Towel Rail In The Bathroom Was Fully On And Seemed Impossible To Turn Down.,,,,,,
,294,Too Amall,,,,,,
,295,Room 24 Stairs Difficult To Negotiate For Elderly,,,,,,
,296,Pre Warn Guests About Location Of Room At App Of House In Case Of Mobility Issues,,,,,,
,297,We Bought Some Friends With Us And Their Room Needed A Chair At The Dressing Table But Otherwise Everything Was O.K.,,,,,,
,302,Oops I Have Already Commented About That!  The Room Was Cleaned But There Were Stains On The Carpet And The Shower Screen In The Bathroom Needed Attention.  The Rubber Seal Needs Replacing.  I Turned The Shower On And Went Back In To Find Water Running Out Onto The Floor.,,,,,,
,303,There Wasn't Any Lotion In Our Room And I Had To Request It.,,,,,,
,305,The Bedside Lamps In Room 25 Are Dangerous. I Toppled One Full Onto My Head  In The Dark  In The Middle Of The Night. My Wife Thought That The Pillows Were Too Soft But Its Personal Opinion.,,,,,,
,310,The Plug In The Bath Didnt Work So We Weren't Able To Use The Bath Which Was A Disappointment.,,,,,,
,312,The Switches For All 3 Table Lamps Were Too Low Down On The Flex.  On The Desk I Had To Crawl Under The Desk To Switch The Light On.  An Electrician Could Move The Switches Nearer To Base Of The Lamp On The Same Flex,,,,,,
,316,Although Clean I Thought That It Was Rather Shabby. One Particularly Small Round Table Needed Attention.  The Bathroom Was Pleasant And I Appreciated The Generous Amount Of Towels Provided.,,,,,,
,317,We Were Given Suite 4 Which Was Fabulous My Partner Likes To Make Her Own Tea. No Facilities In The Room,,,,,,
,322,It Would Of Been Nice To Of Had Tea Making Facilities  But Loved The Room,,,,,,
,326,The Armchair Was Wonderfully Comfortable. Two Would Be Better In A Double Room Though.,,,,,,
,328,Lovely - Warm  Stylish  Comfortable. We Had Only 1 Of Everything Of The Products Which Was Less Useful When I Wanted A Bath On The Evening Of Check-In And We Each Had A Shower The Following Morning - We Had Brought Extra Supplies With Us - But Had We Not We Would Have Felt Perfectly Comfortable Asking For More Supplies.,,,,,,
,329,No Tea Making Facility And Could Of Had More Luxurious Bath Room Products Wardrobe Door Difficult To Close. Plus Points Bath Robes Plenty Of Towels And Bed Very Comfortable,,,,,,
,334,Suite 2. My Only Grip Is The Light Intrusion Into The Room  From The Large Gap Under The Door (I Had To Place A Towel On The Floor Against The Door  The Very Bright Standby On The Tv (I Had To Hang A Coat Over The Tv To Cover It And The Glow Coming From The Emergency Escape Sign In The Sitting Room Which I Guess We Have To Live With. It Would Have Been Nice To Have Beverage Facilities In The Room Without Relying On Room Service.,,,,,,
,335,The Room Was Quite Warm. We Opened The Windows But The 'Kitchen Noise 'Woke Us Early Morning.,,,,,,
,338,42 Is A Dark  Gloomy  Poorly-Lit Room. The Bathroom Was Inconvenient  And The Shower Controls Were Confusing.,,,,,,
,340,The Climb Up The Stairs Was A Surprise  We Were More Than Able To Deal With It But If We Had Been Older  Whether Or Not Infirm  It Could Have Been An Issue.  Also Where Ever We Go We Think Could We Have Taken Our Parents And On This Occasion  In This Room The Answer Would Have Been No.  Thats Not A Problem But We Would Have Wanted To Be Aware Of That When Booking.,,,,,,
,341,Suite 5.   The Room Was Not Cleaned Upon Arrival.  We Found A Dirty Towel On The Floor When We Were Shown To The Room.  There Was Evidence Of The Previous Occupant In The Shower  Grit At The Bottom Of The Bathtub  Smears On The Mirror And The Bed Side Cabinets Were Dirty Also.  The Room Was Re-Cleaned   However Even After That We Found Lipstick Marks On The Glasses And Had To Ask For Replacements. Also  When I Moved The Lamp There Was A Black Line Of Dirt Across The Bedside Table  Very Disappointing And Not Acceptable For The Price We Paid.  There Were Lovely Temple Spa Products   But Not Enough Of Them.,,,,,,
,343,I Slept Well,,,,,,
,344,Actually Two Issues. The Amin Issue Was The Location Of The Room Itself (51) On The Ground Floor  At Street Level  Looking Directly Out Onto The Street. I Like To Change My Clothes And Go Out Jogging But Felt Very Inhibited By Having To Strip Off In Full Public View And Net Curtains Are Just Not Opaque Enough.  Second  The Remote Control For The Television Did Not Work.,,,,,,
,347,Room Was Very Cold And No Means Of Controlling The Temperature. Needed An Extra Duvet.,,,,,,
,348,Unfortunately The Bath Plug Was Faulty And The Shower Seemed Blocked At The Tray Filled Up,,,,,,
,350,Suite 4. We Loved The Suite. We Only Wished We Had Book A Longer Stay  To Enjoy The Room More.,,,,,,
,352,Foot Stool Was Filthy!,,,,,,
,353,The Footstool In Bedroom Was Filthy  Not Hoovered At All.,,,,,,
,354,Very Warm Overnight  Even With A Fan (Suite 1).  Would Be A Struggle In The Height Of Summer,,,,,,
,356,No Large Mirror In Bathroom. No Tea And Coffee In Room,,,,,,
,360,Think It Was Room 23.  Disappointingly Small Room And Dark.  Wardrobe Was Abysmal.  Very Cold When We Arrived.,,,,,,
,361,The Lighting Wasnt Great In The Lounge Area Of Suite 2 And We Were Woken At 545Am By Noisy People (Staff?) Who Sounded Like They Were Moving A Beer Barrel,,,,,,
,362,I Have Stayed In The Feathers Many Times Over The Years  But Not Since Your Refurbishment.  These Things Are Very Much A Personal Taste  But I Felt The Facelift Has Lost The Heart Of The Hotel,,,,,,
,365,We Were Located In The Ground Floor Room At The Rear Of The Courtyad And Were A Little Dissapointed There Was No Bath.,,,,,,
,366,Some Cobwebs Visible Above The Bed. Room 25,,,,,,
,369,We Stayed In The Eagle Suite.  We Were Surprised That There Were No Tea/Coffee Making Facilities In The Room.,,,,,,
,370,32 Bedside Lighting Very Difficult To Read By.,,,,,,
,371,Only The Stairs Getting To The Room. The Lady Showing Us To The Room Did Offer A Lower Room But We Declined.,,,,,,
,372,Room 33.  Perhaps A Little Dark  With The Curtains Covering Much Of The Window.  We Also Thought The Bathroom Decor Was Rather Monochrome.,,,,,,
,374,We Really Liked The Separate Sitting Room.,,,,,,
,375,Would Have Tea And Coffee Making Facilities In The Room,,,,,,
,376,The Blind To The Rear Window Was Left Down As Broken  Therefore Rather Dark. The Room Was Rather Quaint But Acess Was Difficult For 'Mature' People And We Were Not Advised In Advance,,,,,,
,377,Disappointed In Our Room And Found The Bed Small And Not Comfortable Courtyard Room,,,,,,
,380,No Bubble Bath Available.,,,,,,
,382,Room 42 Bad Points: Would Have Liked Some Coffee / Tea Making Facility In Room. The Tap In The Bathroom Was Very Fierce And Sprayed Water All Over You Each Time You Turned It On.,,,,,,
,384,No,,,,,,
,385,Room 33 . Bed Very Comfortable. Would Like To Know The Mattress Type And Brand.,,,,,,
